timestamp,0_velo,1_velo,2_velo,3_velo,4_velo,5_velo,6_velo,7_velo,8_velo,9_velo,10_velo
0.0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0
1.75,0,0,0,0,0,0,0,0,0,0,0
2.0,4294967294,4294967294,0,4294967292,4294967293,2,4294967293,2,4294967294,4294967293,1
2.25,0,4294967288,0,4294967292,0,20,0,18,0,4294967276,0
2.5,0,0,0,0,0,0,0,0,0,0,0
2.75,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,0
3.25,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0
3.75,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0,0,0
4.25,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0
4.75,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,0,0
5.25,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0
5.75,0,0,0,0,0,0,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0,0,0
6.25,0,4294967295,0,0,0,1,0,2,0,0,0
6.5,0,0,0,0,0,0,0,1,0,0,0
6.75,0,0,0,0,0,0,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0,0,0
7.25,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0
7.75,0,0,0,0,0,0,0,0,0,0,0
8.0,0,0,0,0,0,0,0,0,0,0,0
8.25,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0
8.75,0,0,0,0,0,0,0,0,0,0,0
9.0,0,0,0,0,0,0,0,0,0,0,0
9.25,0,0,0,0,0,0,0,0,0,0,0
9.5,4294967294,4,78,100,0,1,4294967213,4294967203,1,4294967290,86
9.75,3,0,4294967295,68,4294967291,4294967291,0,4294967219,4294967294,2,4294967295
10.0,44,86,4294967268,4294967211,4294967260,4294967211,42,86,40,83,4294967258
10.25,4294967224,4294967231,4294967213,4294967194,69,49,62,90,4294967226,4294967231,4294967220
10.5,0,4294967211,4294967294,4294967214,0,92,2,88,0,4294967208,0
10.75,4294967213,4294967216,87,106,73,82,4294967214,4294967190,4294967209,4294967202,86
11.0,0,4294967214,1,76,4294967295,71,4294967292,4294967211,0,4294967220,1
11.25,45,88,57,89,4294967263,4294967212,4294967257,4294967213,43,91,46
11.5,0,10,3,16,0,4294967287,4294967295,4294967284,0,9,1
11.75,0,4294967295,0,0,0,0,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,0,0,0
12.25,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0
12.75,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0,0,0
13.25,0,0,4294967291,4294967289,0,0,4,5,0,0,4294967288
13.5,0,0,4294967260,4294967256,0,0,39,39,0,0,4294967259
13.75,0,0,4294967274,4294967234,0,1,24,64,0,4294967295,4294967273
14.0,0,0,0,4294967260,0,0,0,36,0,0,0
14.25,0,0,0,4294967291,0,0,0,4,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0
14.75,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0,0,0
15.25,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0
15.75,0,0,0,0,0,0,0,0,0,0,0
16.0,0,0,0,0,0,0,0,0,0,0,0
16.25,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0
16.75,0,0,0,0,0,0,0,0,0,0,0
17.0,0,0,0,0,0,0,0,0,0,0,0
