timestamp,0_crrt,1_crrt,2_crrt,3_crrt,4_crrt,5_crrt,6_crrt,7_crrt,8_crrt,9_crrt,10_crrt
0.0,0,0,0,65535,0,65535,65531,0,0,0,0
0.25,0,0,0,65535,0,65535,65534,0,0,0,0
0.5,0,0,0,65535,0,65535,65531,0,0,0,0
0.75,0,0,0,65535,0,65535,65531,0,0,0,0
1.0,0,0,0,65535,0,65535,65531,0,0,0,0
1.25,0,0,0,65535,0,0,65531,0,0,0,0
1.5,0,0,0,65535,0,0,65531,0,0,0,0
1.75,0,0,0,65535,0,0,65531,0,0,0,0
2.0,0,0,0,65535,0,0,65531,0,0,0,0
2.25,0,0,0,65535,0,0,65531,0,65535,0,0
2.5,0,0,0,65535,0,0,65531,0,65535,0,0
2.75,100,0,178,31,162,0,28,1,211,65519,130
3.0,102,0,638,65516,1388,0,1445,11,756,65512,142
3.25,57,0,510,65524,1712,65534,1716,16,600,65524,78
3.5,18,0,262,65519,1326,65535,1360,18,289,65513,0
3.75,65512,0,65297,65519,65416,65524,9,17,65359,65519,65501
4.0,65526,0,65415,27,332,65505,2,65520,65362,65512,65516
4.25,65528,65535,65513,65505,488,65518,582,27,70,65525,65513
4.5,65522,65534,65416,10,363,65517,356,65519,65420,65518,65513
4.75,65431,65534,65507,65515,719,65517,887,23,65524,65511,65428
5.0,65517,0,65405,11,337,65512,399,65523,65474,65529,65417
5.25,65403,13,65499,23,384,65524,429,65525,65516,65513,65399
5.5,65414,12,65486,24,382,65522,430,65523,65516,65512,65400
5.75,65409,14,65492,23,381,65521,431,65522,65516,65521,65404
6.0,65414,14,65490,22,381,65522,432,65522,65516,65519,65406
6.25,65417,13,65486,21,379,65522,432,65523,65516,65523,65402
6.5,65421,12,65486,24,380,65522,432,65525,65516,65514,65402
6.75,65405,0,65473,25,378,65534,429,65525,65518,65522,65398
7.0,65407,0,65469,25,378,65534,433,65523,65518,65520,65401
7.25,65409,0,65475,26,377,65535,433,65529,65517,65520,65398
7.5,65404,0,65473,23,381,65532,431,65530,65517,65511,65399
7.75,65407,0,65478,25,382,65533,433,65528,65517,65523,65400
8.0,65404,0,65467,26,382,65532,434,65526,65517,65513,65401
8.25,65409,0,65470,26,378,65530,434,65528,65515,65509,65400
8.5,65412,0,65473,26,377,65534,431,65530,65518,65515,65400
8.75,65404,0,65469,25,378,65535,434,65529,65516,65512,65400
9.0,65413,0,65471,26,378,65531,434,65531,65516,65519,65401
9.25,65520,0,65109,13,83,106,117,65535,65194,65524,10
9.5,65524,0,65406,13,313,86,321,65525,65388,65523,65521
9.75,65527,0,65485,65517,422,88,445,24,65475,65525,65529
10.0,65528,0,65459,14,414,91,440,65519,65471,65514,65524
10.25,65528,0,65436,65521,406,89,433,8,65464,65520,65524
10.5,65524,0,65443,65520,407,87,440,5,65470,65524,65522
10.75,65526,0,65448,65521,421,91,440,8,65470,65522,65524
11.0,65499,0,65417,65526,397,56,400,0,65437,65518,65497
11.25,65433,0,65275,65520,93,65475,98,65531,65274,65522,65431
11.5,65484,0,124,65535,578,65474,598,65535,124,65523,65490
11.75,65515,0,77,14,312,65525,233,65533,38,65535,65513
12.0,4,0,65519,30,65344,65535,65428,12,65447,65521,16
12.25,65389,0,65503,24,65269,65535,65294,0,65442,65512,6
12.5,65389,0,65502,27,65272,65535,65312,0,65443,65521,5
12.75,65391,0,65502,29,65282,65535,65311,1,65450,65517,12
13.0,65394,0,65511,27,65296,65535,65317,3,65450,65513,13
13.25,65387,0,65508,26,65280,65535,65316,1,65458,65520,16
13.5,65387,1,65505,23,65294,65535,65324,2,65456,65520,13
13.75,65388,1,65509,26,65290,65535,65323,0,65453,65523,15
14.0,65387,0,65512,24,65290,65535,65334,1,65459,65521,10
14.25,65390,1,65510,26,65287,65535,65337,1,65467,65521,12
