timestamp,0_velo,1_velo,2_velo,3_velo,4_velo,5_velo,6_velo,7_velo,8_velo,9_velo,10_velo
0.0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0
1.75,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0,0,0
2.25,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0
2.75,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,0
3.25,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0
3.75,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0,0,0
4.25,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0
4.75,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,0,0
5.25,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0
5.75,0,0,0,0,0,0,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0,0,0
6.25,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0
6.75,0,0,0,0,0,0,0,0,0,0,0
7.0,23,0,12,0,13,0,15,2,13,0,24
7.25,51,0,52,0,23,0,12,0,46,0,51
7.5,61,0,36,0,33,0,29,0,37,0,63
7.75,30,0,7,0,74,0,70,0,7,0,33
8.0,2,0,0,0,4,0,10,3,0,0,4
8.25,0,0,4294967289,0,4294967288,0,4294967283,0,4294967295,0,0
8.5,0,0,5,0,0,0,1,1,6,0,0
8.75,0,0,0,0,0,0,0,0,0,0,0
9.0,4294967267,0,31,0,16,0,16,0,30,0,4294967269
9.25,4294967287,0,7,0,0,0,0,4294967295,7,0,4294967295
9.5,0,0,0,0,0,0,0,0,0,0,0
9.75,0,0,0,0,0,0,0,0,0,0,0
10.0,0,0,0,0,0,0,0,0,0,0,0
10.25,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0
10.75,0,0,0,0,0,0,0,0,0,0,0
11.0,0,0,0,0,0,0,0,0,0,0,0
11.25,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0
11.75,0,0,0,0,0,0,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,0,0,0
12.25,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0
12.75,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0,0,0
13.25,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0
13.75,0,0,0,0,0,0,0,0,0,0,0
14.0,22,0,4294967281,0,4294967287,6,4294967286,0,4294967280,0,21
14.25,19,0,4294967268,1,4294967291,0,4294967292,0,4294967267,0,10
14.5,0,0,0,0,0,0,0,0,0,0,0
14.75,0,0,0,2,0,0,0,0,0,0,0
15.0,0,0,0,4294967295,0,0,0,0,0,0,0
15.25,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0
15.75,4294967293,0,4294967293,0,0,0,4294967294,0,4294967294,0,4294967294
16.0,4294967262,0,4294967257,4294967295,4294967258,0,4294967259,0,4294967258,0,4294967262
16.25,4294967233,0,4294967243,1,4294967230,0,4294967231,0,4294967243,0,4294967234
16.5,4294967241,0,4294967278,0,4294967270,0,4294967271,4294967295,4294967280,0,4294967241
16.75,4294967274,0,0,0,4294967290,0,4294967292,0,0,0,4294967273
17.0,0,0,0,0,0,0,0,0,0,0,0
17.25,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0
